abandoned infant,foundling
abnormal psychology,psychopathology
abstract art,abstractionism
abstract artist,abstractionist
abstract entity,abstraction
abstract thought,reasoning
accident surgery,traumatology
acetylsalicylic acid,aspirin
adipose tumor,lipoma
administrative official,bureaucrat
adobe house,soddy
adoptive parent,adopter
adult female,woman
adult male,man
aerobic exercise,aerobics
after part,stern
air cell,alveolus
air crew,aircrew
air current,wind
air duct,airway
air flow,airflow
air hammer,jackhammer
air hose,airline
air hostess,stewardess
air lane,skyway
air lock,airlock
air plant,epiphyte
air power,aviation
air rifle,airgun
air sac,alveolus
air sickness,airsickness
air space,airspace
airplane propeller,airscrew
alarm bell,tocsin
alcohol addiction,alcoholism
alcoholic beverage,alcohol
alcoholic drink,alcohol
algorithmic rule,algorithm
allergic reaction,allergy
alligator pear,avocado
alluvial deposit,alluvium
alluvial sediment,alluvium
alto saxophonist,altoist
aluminium oxide,alumina
aluminum oxide,alumina
ammunition chest,caisson
amniotic sac,amnion
amphibious vehicle,amphibian
amusement park,funfair
anaerobic exercise,bodybuilding
anal intercourse,sodomy
androgenic hormone,androgen
angular shape,angularity
animal nature,animality
animal scientist,zoologist
animal stuffer,taxidermist
animal trainer,handler
animate being,animal
ankle bracelet,anklet
ant bear,aardvark
ant bird,antbird
anterior naris,nostril
antidiuretic hormone,vasopressin
apple sauce,applesauce
arc tangent,arctan
archeological site,dig
arm band,armlet
armed forces,military
armed robbery,holdup
arterial sclerosis,arteriosclerosis
artificial lake,reservoir
artistic creation,art
ash bin,ashcan
assembly program,assembler
associated state,protectorate
association football,soccer
assumed name,alias
athletic wear,sportswear
atmospheric condition,weather
atomic theory,atomism
attractive force,attraction
auditory modality,audition
auditory sensation,sound
auto maker,carmaker
auto manufacturer,carmaker
automatic pilot,autopilot
automobile driver,racer
axial motion,roll
axial rotation,roll
baby bird,nestling
baby doctor,pediatrician
baby sitting,babysitting
bacillary dysentery,shigellosis
back country,backwoods
back pack,backpack
back pack,knapsack
back street,alley
bad luck,misfortune
ballistic trajectory,ballistics
band saw,bandsaw
bank clerk,cashier
bar absolute,barye
barking deer,muntjac
barrel maker,cooper
baseball player,ballplayer
basic principle,fundamentals
basket rummy,canasta
basketball hoop,basket
bass viol,gamba
bathing machine,bathhouse
batting order,lineup
bay lynx,bobcat
bean aphid,blackfly
bean curd,tofu
beau ideal,paragon
bed bug,bedbug
bed clothing,bedclothes
bed cover,bedspread
bed covering,bedspread
bed rest,bedrest
bee house,apiary
beer maker,brewer
beer mug,stein
bell magpie,currawong
bell ringer,toller
belly laugh,guffaw
bench mark,benchmark
beta globulin,transferrin
big businessman,baron
big businessman,magnate
big league,majors
big money,megabucks
big toe,hallux
biological defence,biodefense
biological defense,biodefense
biological science,biology
biological terrorism,bioterrorism
biological weapon,bioweapon
bionic man,cyborg
bird feed,birdseed
bird food,birdseed
bird sanctuary,aviary
bird shot,buckshot
bird watcher,ornithologist
birth rate,birthrate
birth rate,fertility
black bread,pumpernickel
black diamond,carbonado
black eye,shiner
black fly,blackfly
black magic,sorcery
blocking agent,blocker
blood feud,vendetta
blood kinship,consanguinity
blood poisoning,septicemia
blood relation,cognate
blood relative,cognate
blood stream,bloodstream
blow fly,blowfly
blue cheese,bleu
blue grass,bluegrass
blue green,teal
bluish green,teal
body armor,cataphract
body armour,cataphract
body politic,nation
body snatcher,ghoul
body waste,excreta
bog moss,sphagnum
bold face,boldface
bomb shelter,bombproof
book lover,bibliophile
booking agent,booker
boot maker,bootmaker
border district,borderland
botanical medicine,phytotherapy
bottle screw,corkscrew
bottom fish,groundfish
boulder clay,till
boundary line,border
bowstring hemp,sansevieria
bowtie pasta,farfalle
brain disease,encephalopathy
brain disorder,encephalopathy
brain sugar,galactose
brain surgeon,neurosurgeon
brake light,stoplight
brandy glass,snifter
bread board,breadboard
bread maker,baker
breaking away,breakaway
breast feeding,nursing
breathing in,inhalation
breech closer,breechblock
bringing up,breeding
broadcast medium,broadcasting
bronchial pneumonia,bronchopneumonia
brooder pneumonia,aspergillosis
broom handle,broomstick
brown coal,lignite
brush kangaroo,wallaby
buckwheat tree,titi
bunch grass,bunchgrass
burial chamber,sepulcher
burial ground,cemetery
burial mound,tumulus
burial site,cemetery
burning bush,wahoo
burying ground,cemetery
